Nickname: Main; Password: admin; Role: superadmin
Nickname: admin; Password: password; Role: admin
Nickname: George; Password: password1; Role: reader
Nickname: Anthony; Password: password2; Role: reader
Nickname: Silas; Password: password3; Role: reader
Nickname: William; Password: password4; Role: reader
Nickname: Charles; Password: password5; Role: reader
Nickname: Henry; Password: password6; Role: reader
Nickname: Thomas; Password: password7; Role: reader
Nickname: James; Password: password8; Role: reader
Nickname: Robert; Password: password9; Role: reader
Nickname: Joseph; Password: password10; Role: reader
Nickname: Daniel; Password: password11; Role: reader
Nickname: Samuel; Password: password12; Role: reader
Nickname: Edward; Password: password13; Role: reader
Nickname: Benjamin; Password: password14; Role: reader
Nickname: Alexander; Password: password15; Role: reader
Nickname: Michael; Password: password16; Role: reader
Nickname: David; Password: password17; Role: reader
Nickname: Christopher; Password: password18; Role: reader
Nickname: Matthew; Password: password19; Role: reader
Nickname: Andrew; Password: password20; Role: reader
Nickname: Peter; Password: password21; Role: reader
Nickname: Patrick; Password: password22; Role: reader
Nickname: Richard; Password: password23; Role: reader
Nickname: Jonathan; Password: password24; Role: reader
Nickname: Stephen; Password: password25; Role: reader
Nickname: Mark; Password: password26; Role: reader
Nickname: Nicholas; Password: password27; Role: reader
Nickname: Timothy; Password: password28; Role: reader
Nickname: Joshua; Password: password29; Role: reader
Nickname: Elijah; Password: password30; Role: reader
